step,reward,coverage,remaining_dirt,collisions,total_distance,path_efficiency,performance_score,success
0,0.0004,0.0004,99,0,0.0,400000.0,0.03,0
1,0.0,0.0004,99,0,0.0,400000.0,0.02,0
2,0.0,0.0004,99,0,6.83,0.0585,0.003,0
3,0.0,0.0004,99,0,13.6,0.0294,-0.014,0
4,0.0004,0.0008,98,0,20.24,0.0395,0.01,0
5,0.0,0.0008,98,0,25.29,0.0316,-0.005,0
6,0.0,0.0008,98,0,29.91,0.0267,-0.02,0
7,0.0,0.0008,98,0,29.91,0.0267,-0.03,0
8,0.0,0.0008,98,0,34.04,0.0235,-0.044,0
9,0.0,0.0008,98,0,37.63,0.0213,-0.058,0
10,0.00039999999999999986,0.0012,98,0,40.69,0.0295,-0.031,0
11,0.0004000000000000002,0.0016,98,0,43.21,0.037,-0.003,0
12,0.0,0.0016,98,0,45.23,0.0354,-0.015,0
13,0.0,0.0016,98,0,47.22,0.0339,-0.027,0
14,0.0,0.0016,98,0,49.22,0.0325,-0.039,0
15,0.0,0.0016,98,0,53.12,0.0301,-0.053,0
16,0.0,0.0016,98,0,56.44,0.0283,-0.066,0
17,0.0,0.0016,98,0,59.19,0.027,-0.079,0
18,0.0,0.0016,98,0,61.41,0.0261,-0.091,0
19,0.00039999999999999996,0.002,98,0,63.4,0.0315,-0.063,0
20,0.00039999999999999975,0.0024,98,0,65.4,0.0367,-0.035,0
21,0.0,0.0024,98,0,67.39,0.0356,-0.047,0
22,0.0,0.0024,98,0,69.39,0.0346,-0.059,0
23,0.0,0.0024,98,0,71.39,0.0336,-0.071,0
24,0.0,0.0024,98,0,73.38,0.0327,-0.083,0
25,0.0,0.0024,98,0,75.38,0.0318,-0.095,0
26,0.0,0.0024,98,0,77.37,0.031,-0.107,0
27,0.0,0.0024,98,0,79.37,0.0302,-0.119,0
28,0.0,0.0024,98,0,81.36,0.0295,-0.131,0
29,0.0004000000000000002,0.0028,98,0,83.36,0.0336,-0.103,0
30,0.0,0.0028,98,0,85.35,0.0328,-0.115,0
31,0.0004000000000000002,0.0032,98,0,87.54,0.0366,-0.088,0
32,0.0,0.0032,98,0,89.54,0.0357,-0.1,0
33,0.0,0.0032,98,0,91.54,0.035,-0.112,0
34,0.0,0.0032,98,0,93.53,0.0342,-0.124,0
35,0.00039999999999999975,0.0036,98,0,95.53,0.0377,-0.096,0
36,0.0,0.0036,98,0,97.52,0.0369,-0.108,0
37,0.0,0.0036,98,0,99.52,0.0362,-0.12,0
38,0.0,0.0036,98,0,101.51,0.0355,-0.132,0
39,0.0,0.0036,98,0,105.88,0.034,-0.146,0
40,0.0004000000000000002,0.004,98,0,109.68,0.0365,-0.12,0
41,0.0,0.004,98,0,112.89,0.0354,-0.133,0
42,0.0,0.004,98,0,115.54,0.0346,-0.146,0
43,0.0,0.004,98,0,117.65,0.034,-0.158,0
44,0.0,0.004,98,0,119.64,0.0334,-0.17,0
45,0.0,0.004,98,0,121.64,0.0329,-0.182,0
46,0.0,0.004,98,0,123.63,0.0324,-0.194,0
47,0.0,0.004,98,0,123.63,0.0324,-0.204,0
48,0.0,0.004,98,0,125.63,0.0318,-0.216,0
49,0.0,0.004,98,0,127.63,0.0313,-0.228,0
50,0.0,0.004,98,0,129.62,0.0309,-0.24,0
51,0.0004000000000000002,0.0044,98,0,131.62,0.0334,-0.212,0
52,0.0,0.0044,98,0,133.61,0.0329,-0.224,0
53,0.0,0.0044,98,0,135.61,0.0324,-0.236,0
54,0.0003999999999999993,0.0048,98,0,137.6,0.0349,-0.208,0
55,0.0,0.0048,98,0,142.15,0.0338,-0.222,0
56,0.0,0.0048,98,0,142.15,0.0338,-0.232,0
57,0.0,0.0048,98,0,148.28,0.0324,-0.248,0
58,0.0004000000000000002,0.0052,98,0,153.98,0.0338,-0.224,0
59,0.0,0.0052,98,0,158.93,0.0327,-0.239,0
60,0.0,0.0052,98,0,163.69,0.0318,-0.254,0
61,0.0004000000000000002,0.0056,98,0,168.0,0.0333,-0.228,0
62,0.0004000000000000002,0.006,98,0,171.81,0.0349,-0.202,0
63,0.0,0.006,98,0,178.02,0.0337,-0.218,0
64,0.0,0.006,98,0,178.02,0.0337,-0.228,0
65,0.0,0.006,98,0,183.07,0.0328,-0.243,0
66,0.0,0.006,97,0,187.59,0.032,-0.258,0
67,0.0,0.006,97,0,191.51,0.0313,-0.272,0
68,0.0004000000000000002,0.0064,97,0,194.81,0.0329,-0.245,0
69,0.0,0.0064,97,0,197.5,0.0324,-0.257,0
70,0.0,0.0064,97,0,199.63,0.0321,-0.27,0
71,0.0,0.0064,97,0,202.49,0.0316,-0.282,0
72,0.0003999999999999993,0.0068,97,0,204.86,0.0332,-0.255,0
73,0.0,0.0068,97,0,206.85,0.0329,-0.267,0
74,0.0,0.0068,97,0,208.85,0.0326,-0.279,0
75,0.0,0.0068,97,0,210.85,0.0323,-0.291,0
76,0.0,0.0068,97,0,212.84,0.0319,-0.303,0
77,0.0,0.0068,97,0,214.84,0.0317,-0.315,0
78,0.0,0.0068,97,0,216.83,0.0314,-0.327,0
79,0.0,0.0068,97,0,218.83,0.0311,-0.339,0
80,0.0004000000000000002,0.0072,97,0,220.82,0.0326,-0.311,0
81,0.0,0.0072,97,0,222.82,0.0323,-0.323,0
82,0.0,0.0072,97,0,224.81,0.032,-0.335,0
83,0.0,0.0072,97,0,226.81,0.0317,-0.347,0
84,0.0,0.0072,97,0,228.8,0.0315,-0.359,0
85,0.0,0.0072,97,0,230.8,0.0312,-0.371,0
86,0.0004000000000000002,0.0076,97,0,232.79,0.0326,-0.343,0
87,0.0,0.0076,97,0,232.79,0.0326,-0.353,0
88,0.0,0.0076,97,0,239.56,0.0317,-0.37,0
89,0.0,0.0076,97,0,246.24,0.0309,-0.386,0
90,0.0,0.0076,97,0,252.81,0.0301,-0.403,0
91,0.0,0.0076,97,0,259.14,0.0293,-0.419,0
92,0.0,0.0076,97,0,264.64,0.0287,-0.435,0
93,0.0,0.0076,97,0,269.72,0.0282,-0.45,0
94,0.0,0.0076,97,0,274.24,0.0277,-0.464,0
95,0.0,0.0076,97,0,274.24,0.0277,-0.474,0
96,0.0,0.0076,97,0,279.7,0.0272,-0.49,0
97,0.0,0.0076,96,0,284.86,0.0267,-0.505,0
98,0.0004000000000000002,0.008,96,0,289.51,0.0276,-0.48,0
99,0.0,0.008,96,0,293.55,0.0273,-0.494,0
100,0.0,0.008,96,0,296.94,0.0269,-0.507,0
101,0.0,0.008,96,0,299.7,0.0267,-0.52,0
102,0.0,0.008,96,0,301.89,0.0265,-0.532,0
103,0.0,0.008,96,0,305.59,0.0262,-0.546,0
104,0.0,0.008,96,0,308.41,0.0259,-0.558,0
105,0.0,0.008,96,0,310.51,0.0258,-0.571,0
106,0.0003999999999999993,0.0084,96,0,312.5,0.0269,-0.543,0
107,0.0,0.0084,96,0,314.5,0.0267,-0.554,0
108,0.0,0.0084,96,0,316.5,0.0265,-0.566,0
109,0.0,0.0084,96,0,318.49,0.0264,-0.578,0
110,0.0,0.0084,96,0,320.49,0.0262,-0.59,0
111,0.0,0.0084,96,0,322.48,0.026,-0.602,0
112,0.0,0.0084,96,0,324.48,0.0259,-0.614,0
113,0.0,0.0084,95,0,326.47,0.0257,-0.626,0
114,0.0,0.0084,95,0,328.47,0.0256,-0.638,0
115,0.0,0.0084,95,0,330.46,0.0254,-0.65,0
116,0.0,0.0084,95,0,332.46,0.0253,-0.662,0
117,0.0,0.0084,95,0,334.45,0.0251,-0.674,0
118,0.00040000000000000105,0.0088,95,0,336.45,0.0262,-0.646,0
119,0.0003999999999999993,0.0092,95,0,338.44,0.0272,-0.618,0
120,0.0,0.0092,95,0,340.44,0.027,-0.63,0
121,0.0,0.0092,95,0,342.43,0.0269,-0.642,0
122,0.0,0.0092,95,0,344.43,0.0267,-0.654,0
123,0.0,0.0092,95,0,346.42,0.0266,-0.666,0
124,0.0,0.0092,95,0,348.42,0.0264,-0.678,0
125,0.0,0.0092,95,0,350.41,0.0263,-0.69,0
126,0.0,0.0092,95,0,352.41,0.0261,-0.702,0
127,0.0,0.0092,95,0,354.4,0.026,-0.714,0
128,0.0,0.0092,95,0,356.4,0.0258,-0.726,0
129,0.0,0.0092,95,0,358.39,0.0257,-0.738,0
130,0.0,0.0092,95,0,360.39,0.0255,-0.75,0
131,0.0,0.0092,95,0,362.38,0.0254,-0.762,0
132,0.0003999999999999993,0.0096,95,0,364.38,0.0263,-0.734,0
133,0.0,0.0096,95,0,366.37,0.0262,-0.746,0
134,0.00040000000000000105,0.01,95,0,368.37,0.0271,-0.718,0
135,0.0,0.01,95,0,375.0,0.0267,-0.735,0
136,0.0,0.01,95,0,375.0,0.0267,-0.745,0
137,0.0,0.01,95,0,377.0,0.0265,-0.757,0
138,0.0,0.01,95,0,378.99,0.0264,-0.769,0
139,0.0,0.01,95,0,380.99,0.0262,-0.781,0
140,0.0,0.01,95,0,382.98,0.0261,-0.793,0
141,0.0,0.01,95,0,384.98,0.026,-0.805,0
142,0.0,0.01,95,0,386.97,0.0258,-0.817,0
143,0.0,0.01,95,0,388.97,0.0257,-0.829,0
144,0.0003999999999999993,0.0104,95,0,390.96,0.0266,-0.801,0
145,0.0,0.0104,95,0,392.96,0.0265,-0.813,0
146,0.0,0.0104,95,0,394.95,0.0263,-0.825,0
147,0.0,0.0104,95,0,396.95,0.0262,-0.837,0
148,0.0,0.0104,95,0,398.94,0.0261,-0.849,0
149,0.00040000000000000105,0.0108,95,0,400.94,0.0269,-0.821,0
150,0.0,0.0108,95,0,402.93,0.0268,-0.833,0
151,0.0,0.0108,95,0,404.93,0.0267,-0.845,0
152,0.0,0.0108,95,0,406.93,0.0265,-0.857,0
153,0.0,0.0108,95,0,408.92,0.0264,-0.869,0
154,0.0,0.0108,95,0,410.92,0.0263,-0.881,0
155,0.0,0.0108,95,0,412.91,0.0262,-0.893,0
156,0.0,0.0108,95,0,414.91,0.026,-0.905,0
157,0.0,0.0108,95,0,416.9,0.0259,-0.917,0
158,0.0,0.0108,95,0,418.9,0.0258,-0.929,0
159,0.0,0.0108,95,0,418.9,0.0258,-0.939,0
160,0.0003999999999999993,0.0112,95,0,425.63,0.0263,-0.916,0
161,0.0,0.0112,95,0,432.19,0.0259,-0.932,0
162,0.0,0.0112,95,0,438.54,0.0255,-0.949,0
163,0.0,0.0112,95,0,444.69,0.0252,-0.965,0
164,0.0003999999999999993,0.0116,95,0,450.53,0.0257,-0.941,0
165,0.0,0.0116,95,0,455.9,0.0254,-0.956,0
166,0.0,0.0116,95,0,460.55,0.0252,-0.971,0
167,0.0,0.0116,95,0,466.04,0.0249,-0.986,0
168,0.00040000000000000105,0.012,95,0,470.89,0.0255,-0.961,0
169,0.0,0.012,95,0,474.87,0.0253,-0.975,0
170,0.0,0.012,95,0,477.95,0.0251,-0.988,0
171,0.0,0.012,95,0,480.26,0.025,-1.0,0
172,0.0,0.012,95,0,482.25,0.0249,-1.012,0
173,0.0,0.012,95,0,484.25,0.0248,-1.024,0
174,0.0,0.012,95,0,486.25,0.0247,-1.036,0
175,0.0,0.012,95,0,486.25,0.0247,-1.046,0
176,0.0,0.012,95,0,488.24,0.0246,-1.058,0
177,0.0,0.012,95,0,490.24,0.0245,-1.07,0
178,0.0,0.012,95,0,492.23,0.0244,-1.082,0
179,0.0,0.012,95,0,494.23,0.0243,-1.094,0
180,0.0003999999999999993,0.0124,95,0,496.22,0.025,-1.066,0
181,0.0,0.0124,95,0,498.22,0.0249,-1.078,0
182,0.0,0.0124,95,0,500.21,0.0248,-1.09,0
183,0.0,0.0124,95,0,505.4,0.0245,-1.105,0
184,0.0,0.0124,95,0,509.72,0.0243,-1.12,0
185,0.0,0.0124,95,0,513.04,0.0242,-1.133,0
186,0.0,0.0124,95,0,515.47,0.0241,-1.145,0
187,0.00040000000000000105,0.0128,95,0,517.47,0.0247,-1.117,0
188,0.0,0.0128,95,0,519.47,0.0246,-1.129,0
189,0.0,0.0128,95,0,521.46,0.0245,-1.141,0
190,0.0,0.0128,95,0,523.46,0.0245,-1.153,0
191,0.0,0.0128,95,0,525.45,0.0244,-1.165,0
192,0.0,0.0128,95,0,527.45,0.0243,-1.177,0
193,0.0,0.0128,95,0,529.45,0.0242,-1.189,0
194,0.0,0.0128,95,0,531.44,0.0241,-1.201,0
195,0.0,0.0128,95,0,533.44,0.024,-1.213,0
196,0.0,0.0128,95,0,535.43,0.0239,-1.225,0
197,0.0,0.0128,95,0,537.43,0.0238,-1.237,0
198,0.0,0.0128,95,0,539.42,0.0237,-1.249,0
199,0.0003999999999999993,0.0132,95,0,541.42,0.0244,-1.221,0
200,0.0,0.0132,95,0,543.41,0.0243,-1.233,0
201,0.0,0.0132,95,0,545.41,0.0242,-1.245,0
202,0.0,0.0132,95,0,547.4,0.0241,-1.257,0
203,0.0,0.0132,95,0,549.4,0.024,-1.269,0
204,0.0,0.0132,95,0,551.39,0.0239,-1.281,0
205,0.0,0.0132,95,0,553.39,0.0239,-1.293,0
206,0.0,0.0132,95,0,555.38,0.0238,-1.305,0
207,0.0,0.0132,95,0,555.38,0.0238,-1.315,0
208,0.0,0.0132,95,0,557.38,0.0237,-1.327,0
209,0.0,0.0132,95,0,559.37,0.0236,-1.339,0
210,0.0003999999999999993,0.0136,95,0,561.37,0.0242,-1.311,0
211,0.0,0.0136,95,0,563.36,0.0241,-1.323,0
212,0.0,0.0136,95,0,565.36,0.0241,-1.335,0
213,0.0,0.0136,95,0,567.35,0.024,-1.347,0
214,0.0,0.0136,95,0,569.35,0.0239,-1.359,0
215,0.0,0.0136,95,0,571.34,0.0238,-1.371,0
216,0.0,0.0136,95,0,573.34,0.0237,-1.383,0
217,0.0,0.0136,95,0,575.34,0.0236,-1.395,0
218,0.0,0.0136,95,0,577.33,0.0236,-1.407,0
219,0.0,0.0136,95,0,579.33,0.0235,-1.419,0
220,0.00040000000000000105,0.014,95,0,581.32,0.0241,-1.391,0
221,0.0,0.014,95,0,583.32,0.024,-1.403,0
222,0.0,0.014,95,0,585.31,0.0239,-1.415,0
223,0.0003999999999999993,0.0144,95,0,589.07,0.0244,-1.389,0
224,0.0,0.0144,95,0,591.79,0.0243,-1.402,0
225,0.0,0.0144,95,0,593.78,0.0243,-1.414,0
226,0.0,0.0144,95,0,595.78,0.0242,-1.426,0
227,0.0,0.0144,95,0,597.78,0.0241,-1.438,0
228,0.0,0.0144,95,0,599.77,0.024,-1.45,0
229,0.0,0.0144,95,0,601.77,0.0239,-1.462,0
230,0.0,0.0144,95,0,603.76,0.0239,-1.474,0
231,0.0,0.0144,95,0,606.96,0.0237,-1.487,0
232,0.0,0.0144,95,0,609.58,0.0236,-1.5,0
233,0.00040000000000000105,0.0148,95,0,611.66,0.0242,-1.472,0
234,0.0,0.0148,95,0,613.65,0.0241,-1.484,0
235,0.0,0.0148,95,0,615.65,0.024,-1.496,0
236,0.0,0.0148,95,0,617.65,0.024,-1.508,0
237,0.0003999999999999993,0.0152,95,0,619.64,0.0245,-1.48,0
238,0.0,0.0152,95,0,621.64,0.0245,-1.492,0
239,0.0,0.0152,95,0,623.63,0.0244,-1.504,0
240,0.0,0.0152,95,0,625.63,0.0243,-1.516,0
241,0.0,0.0152,95,0,627.62,0.0242,-1.528,0
242,0.0,0.0152,95,0,629.62,0.0241,-1.54,0
243,0.0,0.0152,95,0,631.62,0.0241,-1.552,0
244,0.0,0.0152,95,0,633.61,0.024,-1.564,0
245,0.0,0.0152,95,0,635.61,0.0239,-1.576,0
246,0.0,0.0152,95,0,637.6,0.0238,-1.588,0
247,0.0,0.0152,95,0,637.6,0.0238,-1.598,0
248,0.0003999999999999993,0.0156,95,0,640.42,0.0244,-1.57,0
249,0.0,0.0156,95,0,642.67,0.0243,-1.583,0
250,0.0,0.0156,95,0,644.67,0.0242,-1.595,0
251,0.0,0.0156,95,0,646.66,0.0241,-1.607,0
252,0.0,0.0156,95,0,648.66,0.024,-1.619,0
253,0.0,0.0156,95,0,650.65,0.024,-1.631,0
254,0.0,0.0156,95,0,652.65,0.0239,-1.643,0
